41,39,0,5,1.00,0.89,0.94
42,39,0,5,1.00,0.89,0.94
43,39,0,5,1.00,0.89,0.94
44,39,0,5,1.00,0.89,0.94
45,39,0,5,1.00,0.89,0.94
46,40,2,4,0.95,0.91,0.93
47,39,0,5,1.00,0.89,0.94
48,40,2,4,0.95,0.91,0.93
49,40,2,4,0.95,0.91,0.93
50,39,0,5,1.00,0.89,0.94
51,39,0,5,1.00,0.89,0.94
52,39,0,5,1.00,0.89,0.94
53,40,2,4,0.95,0.91,0.93
54,39,0,5,1.00,0.89,0.94
55,39,0,5,1.00,0.89,0.94
56,39,0,5,1.00,0.89,0.94
57,39,0,5,1.00,0.89,0.94
58,39,0,5,1.00,0.89,0.94
59,39,0,5,1.00,0.89,0.94
60,39,0,5,1.00,0.89,0.94
61,39,0,5,1.00,0.89,0.94
62,39,0,5,1.00,0.89,0.94
63,39,0,5,1.00,0.89,0.94
64,39,0,5,1.00,0.89,0.94
65,39,0,5,1.00,0.89,0.94
66,40,2,4,0.95,0.91,0.93
67,40,1,4,0.98,0.91,0.94
68,40,1,4,0.98,0.91,0.94
69,39,0,5,1.00,0.89,0.94
70,39,0,5,1.00,0.89,0.94
71,40,2,4,0.95,0.91,0.93
72,40,1,4,0.98,0.91,0.94
73,39,0,5,1.00,0.89,0.94
74,39,0,5,1.00,0.89,0.94
75,39,0,5,1.00,0.89,0.94
76,40,2,4,0.95,0.91,0.93
77,40,2,4,0.95,0.91,0.93
78,39,0,5,1.00,0.89,0.94
79,40,2,4,0.95,0.91,0.93
80,40,2,4,0.95,0.91,0.93
81,39,0,5,1.00,0.89,0.94
82,40,2,4,0.95,0.91,0.93
83,39,0,5,1.00,0.89,0.94
84,39,0,5,1.00,0.89,0.94
85,39,0,5,1.00,0.89,0.94
86,40,1,4,0.98,0.91,0.94
87,39,0,5,1.00,0.89,0.94
88,40,2,4,0.95,0.91,0.93
89,39,0,5,1.00,0.89,0.94
90,40,1,4,0.98,0.91,0.94
91,40,1,4,0.98,0.91,0.94
92,40,2,4,0.95,0.91,0.93
93,39,0,5,1.00,0.89,0.94
94,40,2,4,0.95,0.91,0.93
95,39,0,5,1.00,0.89,0.94
96,39,0,5,1.00,0.89,0.94
97,40,2,4,0.95,0.91,0.93
98,39,0,5,1.00,0.89,0.94
99,40,2,4,0.95,0.91,0.93
100,40,2,4,0.95,0.91,0.93
1,40,0,4,1.00,0.91,0.95
2,40,0,4,1.00,0.91,0.95
3,40,0,4,1.00,0.91,0.95
4,40,0,4,1.00,0.91,0.95
5,40,0,4,1.00,0.91,0.95
6,40,0,4,1.00,0.91,0.95
7,40,0,4,1.00,0.91,0.95
8,40,0,4,1.00,0.91,0.95
9,40,0,4,1.00,0.91,0.95
10,40,0,4,1.00,0.91,0.95
11,39,0,5,1.00,0.89,0.94
12,40,0,4,1.00,0.91,0.95
13,40,0,4,1.00,0.91,0.95
14,40,0,4,1.00,0.91,0.95
15,40,1,4,0.98,0.91,0.94
16,40,1,4,0.98,0.91,0.94
17,40,0,4,1.00,0.91,0.95
18,40,0,4,1.00,0.91,0.95
19,40,1,4,0.98,0.91,0.94
20,39,0,5,1.00,0.89,0.94
21,40,0,4,1.00,0.91,0.95
22,40,1,4,0.98,0.91,0.94
23,40,1,4,0.98,0.91,0.94
24,40,0,4,1.00,0.91,0.95
25,40,0,4,1.00,0.91,0.95
26,39,0,5,1.00,0.89,0.94
27,40,1,4,0.98,0.91,0.94
28,40,1,4,0.98,0.91,0.94
29,40,1,4,0.98,0.91,0.94
30,40,0,4,1.00,0.91,0.95
31,40,1,4,0.98,0.91,0.94
32,40,1,4,0.98,0.91,0.94
33,40,1,4,0.98,0.91,0.94
34,39,0,5,1.00,0.89,0.94
35,40,1,4,0.98,0.91,0.94
36,39,0,5,1.00,0.89,0.94
37,39,0,5,1.00,0.89,0.94
38,40,1,4,0.98,0.91,0.94
39,40,1,4,0.98,0.91,0.94
40,39,0,5,1.00,0.89,0.94
41,40,1,4,0.98,0.91,0.94
42,40,1,4,0.98,0.91,0.94
43,39,0,5,1.00,0.89,0.94
44,39,0,5,1.00,0.89,0.94
